symbol,sector,industry,current_price,day_change_pct,low_52w,high_52w,distance_from_low_pct,distance_from_high_pct,rsi,sma50,sma200,avg_volume_20d,latest_volume,volume_ratio,trend,technical_score,technical_reasons,return_1m,return_3m,return_6m,nifty_return_1m,nifty_return_3m,nifty_return_6m,return_vs_nifty_1m,return_vs_nifty_3m,return_vs_nifty_6m,relative_strength_score,relative_strength_reasons,sector_rank_pct,range_status,range_score,range_low,range_high,range_width_pct,range_position_pct,range_reasons,company_name,sector_yf,industry_yf,sector_bucket,market_cap_cr,market_cap_cr_known,trailing_pe,trailing_pe_known,forward_pe,forward_pe_known,price_to_book,price_to_book_known,debt_to_equity,debt_to_equity_known,roe,roe_known,roa,roa_known,operating_margin,operating_margin_known,net_profit_margin,net_profit_margin_known,gross_margin,gross_margin_known,revenue_growth,revenue_growth_known,earnings_growth,earnings_growth_known,current_ratio,current_ratio_known,quick_ratio,quick_ratio_known,total_cash_cr,total_cash_cr_known,total_debt_cr,total_debt_cr_known,free_cashflow_cr,free_cashflow_cr_known,operating_cashflow_cr,operating_cashflow_cr_known,dividend_yield,dividend_yield_known,beta,beta_known,profitability_score,growth_score,balance_sheet_score,cashflow_score,valuation_score,fundamental_score,fundamental_data_coverage,fundamental_reasons,fundamental_risk_reasons,sector_adjustment,sector_adjusted_fundamental_score,sector_adjustment_reasons,sector_score,risk_penalty,risk_reasons,final_score,score_band,reasons,scan_time
OFSS,Technology,Software - Infrastructure,11800.0,0.61,6060.86,12060.0,94.69,2.16,56.58,11254.35,8716.93,199259.95,291135.0,1.46,Bullish,75.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Volume expansion, Positive day move",3.26,15.79,83.58,-0.18,2.8,-5.33,3.44,12.99,88.91,78.0,"Positive 1M return, Positive 3M return, Strong 6M absolute return, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",17.42,Profit Booking Zone,77.02,6590.98,11730.2,77.97,100.0,79.8% of closes stayed inside the range | Range width 78.0% | Currently 100.0% through the range,Oracle Financial Services Software Limited,Technology,Software - Infrastructure,IT / Technology,102087.33,True,29.9402,True,25.8608,True,14.7364,True,0.567,True,49.9,True,30.94,True,59.57,True,38.15,True,58.6,True,68.7,True,120.2,True,4.413,True,3.946,True,4773.4,True,39.3,True,3088.42,True,3601.2,True,5.67,True,0.496,True,25.0,20.0,20.0,17.0,9.0,91.0,1.0,"Strong ROE, Cash covers debt",,10.0,100.0,"Strong ROE for an asset-light business, Strong operating margin",33.97,0.0,,78.35,High Conviction,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Volume expansion, Positive day move, Strong ROE, Cash covers debt, Positive 1M return, Positive 3M return, Strong 6M absolute return, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 78.0% | Currently 100.0% through the range",2026-08-28 01:54 IST
INDOBORAX,Basic Materials,Chemicals,505.7,3.75,204.52,524.6,147.27,3.6,66.75,404.98,284.87,698520.75,590262.0,0.85,Bullish,70.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong positive day move",31.49,60.67,126.88,-0.18,2.8,-5.33,31.67,57.87,132.21,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",5.06,Profit Booking Zone,73.74,224.58,433.19,92.89,100.0,79.8% of closes stayed inside the range | Range width 92.9% | Currently 100.0% through the range,Indo Borax & Chemicals Limited,Basic Materials,Chemicals,Chemicals,1642.53,True,29.1486,True,,False,4.2488,True,0.37,True,13.93,True,7.44,True,26.24,True,23.33,True,46.44,True,25.2,True,42.0,True,20.848,True,14.245,True,211.31,True,1.43,True,17.88,True,87.15,True,1.95,True,0.809,True,18.0,20.0,20.0,17.0,7.0,82.0,1.0,Cash covers debt,,2.0,84.0,General low-debt support,37.96,0.0,,77.59,High Conviction,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong positive day move, Cash covers debt, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 92.9% | Currently 100.0% through the range",2026-08-28 01:54 IST
BALAMINES,Basic Materials,Specialty Chemicals,2437.2,3.99,963.33,2461.0,153.0,0.97,67.97,2171.49,1500.38,211338.8,423382.0,2.0,Bullish,85.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong volume expansion, Strong positive day move",7.3,39.81,122.3,-0.18,2.8,-5.33,7.48,37.01,127.63,98.0,"Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",10.43,Breakout Watch,75.82,1033.96,2285.66,121.06,100.0,79.8% of closes stayed inside the range | Range width 121.1% | Currently 100.0% through the range | Above upper band on elevated volume,Balaji Amines Limited,Basic Materials,Specialty Chemicals,Chemicals,6733.58,True,33.003,True,22.6519,True,3.4069,True,6.194,True,,False,,False,22.39,True,13.41,True,44.54,True,27.2,True,97.2,True,,False,,False,269.79,True,133.28,True,,False,,False,53.0,True,0.848,True,10.0,20.0,12.0,0.0,11.0,53.0,0.57,Cash covers debt,,2.0,55.0,General low-debt support,37.96,0.0,,70.69,Strong,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong volume expansion, Strong positive day move, Cash covers debt, Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 121.1% | Currently 100.0% through the range | Above upper band on elevated volume",2026-08-28 01:54 IST
WABAG,Industrials,Engineering & Construction,2155.3,6.62,1030.49,2248.02,109.15,4.12,64.18,2026.21,1505.9,578912.4,2116909.0,3.66,Bullish,85.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong volume expansion, Strong positive day move",14.85,38.85,71.91,-0.18,2.8,-5.33,15.03,36.05,77.24,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",5.42,Profit Booking Zone,80.36,1233.75,2094.23,69.75,100.0,79.8% of closes stayed inside the range | Range width 69.7% | Currently 100.0% through the range,VA Tech Wabag Limited,Industrials,Engineering & Construction,Capital Goods / Infra,12516.25,True,34.8461,True,22.0331,True,4.8598,True,8.874,True,,False,,False,8.78,True,9.64,True,16.12,True,20.8,True,36.8,True,,False,,False,1055.2,True,228.4,True,,False,,False,25.0,True,0.794,True,3.0,18.0,12.0,0.0,11.0,44.0,0.57,Cash covers debt,,5.0,49.0,Strong order-book-driven revenue growth,36.88,0.0,,68.93,Strong,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong volume expansion, Strong positive day move, Cash covers debt, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 69.7% | Currently 100.0% through the range",2026-08-28 01:54 IST
AEROENTER,Basic Materials,Steel,143.64,2.06,62.2,149.55,130.93,3.95,68.28,128.76,96.6,671188.05,908208.0,1.35,Bullish,80.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Volume expansion, Strong positive day move",17.6,52.69,83.17,-0.18,2.8,-5.33,17.78,49.89,88.5,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",5.06,Breakout Watch,76.55,72.31,136.03,88.12,100.0,79.8% of closes stayed inside the range | Range width 88.1% | Currently 100.0% through the range | Above upper band on elevated volume,Aeroflex Enterprises Limited,Basic Materials,Steel,Metals / Mining,1585.09,True,10.5237,True,,False,1.9202,True,4.218,True,,False,,False,45.74,True,16.43,True,54.88,True,147.7,True,8.48,True,,False,,False,146.05,True,40.59,True,,False,,False,29.0,True,1.576,True,11.0,15.0,12.0,0.0,12.0,50.0,0.57,Cash covers debt,,2.0,52.0,General low-debt support,37.96,0.0,,68.89,Strong,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Volume expansion, Strong positive day move, Cash covers debt, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 88.1% | Currently 100.0% through the range | Above upper band on elevated volume",2026-08-28 01:54 IST
IOLCP,Healthcare,Drug Manufacturers - Specialty & Generic,186.01,7.91,67.07,187.63,177.33,0.86,71.39,154.6,105.1,4019051.0,14979792.0,3.73,Bullish,72.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Strong volume expansion, Strong positive day move",26.24,47.78,148.74,-0.18,2.8,-5.33,26.42,44.98,154.07,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",7.33,Breakout Watch,73.09,76.61,165.6,116.17,100.0,79.8% of closes stayed inside the range | Range width 116.2% | Currently 100.0% through the range | Above upper band on elevated volume,IOL Chemicals and Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,Pharma / Healthcare,4975.88,True,29.6883,True,17.4763,True,2.7683,True,7.529,True,,False,,False,10.86,True,6.66,True,35.39,True,37.1,True,89.7,True,,False,,False,200.3,True,135.42,True,,False,,False,59.0,True,0.482,True,6.0,20.0,12.0,0.0,13.0,51.0,0.57,Cash covers debt,,2.0,53.0,General low-debt support,43.32,0.0,,68.05,Strong,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Strong volume expansion, Strong positive day move, Cash covers debt, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 116.2% | Currently 100.0% through the range | Above upper band on elevated volume",2026-08-28 01:54 IST
RUBICON,Healthcare,Drug Manufacturers - General,1818.8,6.44,570.19,1829.0,218.98,0.56,66.75,1517.02,987.73,456424.1,742780.0,1.63,Bullish,80.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Volume expansion, Strong positive day move",19.18,55.46,135.22,-0.18,2.8,-5.33,19.36,52.66,140.55,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",7.33,Breakout Watch,74.77,774.73,1600.86,106.63,100.0,79.8% of closes stayed inside the range | Range width 106.6% | Currently 100.0% through the range | Above upper band on elevated volume,RUBICON RESEARCH LIMITED,Healthcare,Drug Manufacturers - General,Pharma / Healthcare,28473.44,True,99.0069,True,59.7816,True,22.0926,True,24.131,True,,False,,False,21.33,True,14.89,True,67.0,True,51.6,True,82.1,True,,False,,False,333.39,True,311.01,True,,False,,False,9.0,True,,False,10.0,20.0,10.0,0.0,5.0,45.0,0.57,Cash covers debt,Very high PE,2.0,47.0,General low-debt support,43.32,0.0,,67.95,Strong,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Volume expansion, Strong positive day move, Cash covers debt, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 106.6% | Currently 100.0% through the range | Above upper band on elevated volume",2026-08-28 01:54 IST
PARAS,Industrials,Aerospace & Defense,1492.7,3.29,580.5,1585.0,157.14,5.82,65.32,1300.59,871.82,1690372.35,2069222.0,1.22,Bullish,75.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support, Strong positive day move",23.12,83.27,136.52,-0.18,2.8,-5.33,23.3,80.47,141.85,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",5.42,Profit Booking Zone,73.72,643.05,1346.72,109.43,100.0,79.8% of closes stayed inside the range | Range width 109.4% | Currently 100.0% through the range,Paras Defence and Space Technologies Limited,Industrials,Aerospace & Defense,Capital Goods / Infra,12084.88,True,128.1709,True,90.3374,True,16.6437,True,3.731,True,,False,,False,21.44,True,18.47,True,50.81,True,37.3,True,42.5,True,,False,,False,119.45,True,27.06,True,,False,,False,7.0,True,0.525,True,11.0,20.0,12.0,0.0,5.0,48.0,0.57,Cash covers debt,Very high PE,5.0,53.0,Strong order-book-driven revenue growth,36.88,0.0,,67.83,Strong,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support, Strong positive day move, Cash covers debt, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 109.4% | Currently 100.0% through the range",2026-08-28 01:54 IST
CRISIL,Financial Services,Financial Data & Stock Exchanges,4513.4,0.75,3669.91,5038.99,22.98,10.43,57.18,4291.64,4282.25,39958.2,20984.0,0.53,Bullish,70.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone, Positive day move",1.45,14.94,0.61,-0.18,2.8,-5.33,1.63,12.14,5.94,53.0,"Positive 1M return, Positive 3M return, Positive 6M return, 3M Nifty outperformance, Positive across 1M/3M/6M",32.29,Profit Booking Zone,85.34,3877.48,4480.16,15.54,100.0,79.8% of closes stayed inside the range | Range width 15.5% | Currently 100.0% through the range,CRISIL Limited,Financial Services,Financial Data & Stock Exchanges,Financial Services,33014.55,True,37.313,True,30.0017,True,10.0918,True,10.23,True,29.05,True,14.87,True,24.68,True,21.43,True,47.0,True,27.6,True,26.2,True,1.868,True,1.402,True,916.31,True,334.66,True,507.05,True,865.11,True,89.0,True,0.166,True,24.0,20.0,18.0,17.0,7.0,86.0,1.0,"Strong ROE, Cash covers debt",,2.0,88.0,"Strong ROE for a leveraged-balance-sheet business, Expensive relative to book value for this sector",38.76,0.0,,67.36,Strong,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone, Positive day move, Strong ROE, Cash covers debt, Positive 1M return, Positive 3M return, Positive 6M return, 3M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 15.5% | Currently 100.0% through the range",2026-08-28 01:54 IST
DCBBANK,Financial Services,Banks - Regional,213.83,3.12,118.52,220.1,80.42,2.85,69.23,189.24,181.9,2433207.85,10444131.0,4.29,Bullish,85.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong volume expansion, Strong positive day move",11.05,23.32,12.73,-0.18,2.8,-5.33,11.23,20.52,18.06,95.0,"Strong 1M absolute return, Strong 3M absolute return, Positive 6M return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",4.93,Breakout Watch,88.88,169.94,191.94,12.95,100.0,79.8% of closes stayed inside the range | Range width 12.9% | Currently 100.0% through the range | Above upper band on elevated volume,DCB Bank Limited,Financial Services,Banks - Regional,Banking,6557.17,True,8.3336,True,5.9349,True,1.0028,True,,False,,False,,False,34.86,True,25.28,True,0.0,True,17.4,True,32.4,True,,False,,False,1141.19,True,6086.45,True,,False,,False,71.0,True,0.455,True,12.0,18.0,0.0,0.0,15.0,45.0,0.5,,,0.0,45.0,,38.76,0.0,,66.56,Strong,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong volume expansion, Strong positive day move, Strong 1M absolute return, Strong 3M absolute return, Positive 6M return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 12.9% | Currently 100.0% through the range | Above upper band on elevated volume",2026-08-28 01:54 IST
DIVISLAB,Healthcare,Drug Manufacturers - Specialty & Generic,9025.0,3.21,5613.35,9043.0,60.78,0.2,78.35,7564.0,6656.94,503963.55,708128.0,1.41,Bullish,67.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Volume expansion, Strong positive day move",15.94,38.28,44.87,-0.18,2.8,-5.33,16.12,35.48,50.2,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",7.33,Breakout Watch,80.97,6036.31,8477.9,40.45,100.0,79.8% of closes stayed inside the range | Range width 40.4% | Currently 100.0% through the range | Above upper band on elevated volume,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,Pharma / Healthcare,228223.33,True,88.492,True,57.1871,True,13.6163,True,0.042,True,,False,,False,36.66,True,26.05,True,61.24,True,27.8,True,65.7,True,,False,,False,3233.0,True,7.0,True,,False,,False,35.0,True,0.22,True,12.0,20.0,12.0,0.0,5.0,49.0,0.57,Cash covers debt,Very high PE,2.0,51.0,General low-debt support,43.32,0.0,,66.1,Strong,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Volume expansion, Strong positive day move, Cash covers debt, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 40.4% | Currently 100.0% through the range | Above upper band on elevated volume",2026-08-28 01:54 IST
DYCL,Industrials,Electrical Equipment & Parts,458.9,7.16,236.47,475.0,94.06,3.39,61.02,400.46,339.27,550796.95,671640.0,1.22,Bullish,75.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support, Strong positive day move",16.5,43.54,65.27,-0.18,2.8,-5.33,16.68,40.74,70.6,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",5.42,Profit Booking Zone,79.64,270.24,433.88,60.55,100.0,79.8% of closes stayed inside the range | Range width 60.6% | Currently 100.0% through the range,Dynamic Cables Limited,Industrials,Electrical Equipment & Parts,Capital Goods / Infra,2223.28,True,24.3913,True,,False,4.8624,True,9.424,True,,False,,False,10.06,True,7.1,True,19.32,True,33.2,True,37.0,True,,False,,False,42.44,True,43.09,True,,False,,False,11.0,True,0.091,True,6.0,20.0,9.0,0.0,8.0,43.0,0.57,,,5.0,48.0,Strong order-book-driven revenue growth,36.88,0.0,,66.08,Strong,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support, Strong positive day move, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 60.6% | Currently 100.0% through the range",2026-08-28 01:54 IST
NAVINFLUOR,Basic Materials,Chemicals,8553.0,4.19,4488.29,8775.5,90.56,2.54,65.16,7807.98,6694.09,353088.0,184735.0,0.52,Bullish,70.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong positive day move",12.62,22.36,33.17,-0.18,2.8,-5.33,12.8,19.56,38.5,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",5.06,Profit Booking Zone,82.77,6171.77,8188.9,32.68,100.0,79.8% of closes stayed inside the range | Range width 32.7% | Currently 100.0% through the range,Navin Fluorine International Limited,Basic Materials,Chemicals,Chemicals,42099.36,True,53.1923,True,40.9388,True,10.5815,True,32.091,True,,False,,False,30.18,True,21.73,True,56.75,True,44.1,True,100.9,True,,False,,False,1303.05,True,1275.48,True,,False,,False,18.0,True,0.239,True,12.0,20.0,10.0,0.0,7.0,49.0,0.57,Cash covers debt,,2.0,51.0,General low-debt support,37.96,0.0,,66.04,Strong,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong positive day move, Cash covers debt, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 32.7% | Currently 100.0% through the range",2026-08-28 01:54 IST
STYL,Technology,Software - Infrastructure,396.85,0.8,207.8,434.7,90.98,8.71,56.37,361.71,288.48,173214.0,128042.0,0.74,Bullish,65.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive day move",13.83,51.53,66.44,-0.18,2.8,-5.33,14.01,48.73,71.77,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",4.84,Profit Booking Zone,76.11,232.85,396.01,70.07,100.0,79.8% of closes stayed inside the range | Range width 70.1% | Currently 100.0% through the range,SESHAASAI TECHNOLOGIES L,Technology,Software - Infrastructure,IT / Technology,6351.69,True,23.2004,True,19.9264,True,4.4486,True,5.865,True,,False,,False,20.33,True,17.49,True,40.21,True,21.1,True,49.2,True,,False,,False,415.71,True,83.64,True,,False,,False,64.0,True,,False,10.0,18.0,12.0,0.0,11.0,51.0,0.57,Cash covers debt,,5.0,56.0,Strong operating margin,33.97,0.0,,65.95,Strong,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive day move, Cash covers debt, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 70.1% | Currently 100.0% through the range",2026-08-28 01:54 IST
INDSWFTLAB,Healthcare,Drug Manufacturers - Specialty & Generic,367.48,13.29,87.15,373.72,321.66,1.67,77.27,244.02,154.44,2088445.15,7368383.0,3.53,Bullish,72.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Strong volume expansion, Strong positive day move",64.36,123.81,149.61,-0.18,2.8,-5.33,64.54,121.01,154.94,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",7.33,Breakout Watch,74.91,135.25,254.09,87.87,100.0,79.8% of closes stayed inside the range | Range width 87.9% | Currently 100.0% through the range | Above upper band on elevated volume,Ind-Swift Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,Pharma / Healthcare,2862.05,True,50.4732,True,,False,1.9883,True,1.481,True,,False,,False,13.5,True,8.5,True,57.34,True,25.4,True,142.7,True,,False,,False,441.75,True,20.5,True,,False,,False,,False,0.707,True,6.0,20.0,12.0,0.0,6.0,44.0,0.5,Cash covers debt,,2.0,46.0,General low-debt support,43.32,0.0,,65.6,Strong,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Strong volume expansion, Strong positive day move, Cash covers debt, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 87.9% | Currently 100.0% through the range | Above upper band on elevated volume",2026-08-28 01:54 IST
DEEPINDS,Energy,Oil & Gas E&P,664.65,2.31,328.75,717.27,102.18,7.34,58.83,544.45,460.36,804255.45,382203.0,0.48,Bullish,70.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong positive day move",22.88,32.39,89.65,-0.18,2.8,-5.33,23.06,29.59,94.98,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",9.38,Profit Booking Zone,79.55,421.74,650.02,54.13,100.0,79.8% of closes stayed inside the range | Range width 54.1% | Currently 100.0% through the range,Deep Industries Limited,Energy,Oil & Gas E&P,Energy / Utilities,4403.52,True,21.3217,True,11.2795,True,2.2062,True,9.61,True,,False,,False,33.08,True,21.28,True,54.28,True,39.8,True,45.2,True,,False,,False,156.21,True,202.98,True,,False,,False,36.0,True,-0.641,True,12.0,20.0,9.0,0.0,13.0,54.0,0.57,,,2.0,56.0,General low-debt support,43.15,3.0,Low volume participation,65.57,Strong,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong positive day move, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 54.1% | Currently 100.0% through the range",2026-08-28 01:54 IST
MARKSANS,Healthcare,Drug Manufacturers - General,331.05,3.94,154.57,344.55,114.17,3.92,69.72,276.32,210.64,5814122.3,1989892.0,0.34,Bullish,70.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong positive day move",27.95,39.08,88.77,-0.18,2.8,-5.33,28.13,36.28,94.1,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",7.33,Profit Booking Zone,77.9,167.67,276.87,65.13,100.0,79.8% of closes stayed inside the range | Range width 65.1% | Currently 100.0% through the range,Marksans Pharma Limited,Healthcare,Drug Manufacturers - General,Pharma / Healthcare,14560.15,True,28.1595,True,22.8412,True,4.8162,True,11.248,True,,False,,False,22.38,True,16.29,True,55.24,True,35.6,True,169.0,True,,False,,False,990.88,True,343.38,True,,False,,False,28.0,True,1.121,True,10.0,20.0,12.0,0.0,11.0,53.0,0.57,Cash covers debt,,2.0,55.0,General low-debt support,43.32,3.0,Low volume participation,65.25,Strong,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong positive day move, Cash covers debt, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 65.1% | Currently 100.0% through the range",2026-08-28 01:54 IST
